"Molecule ChEMBL ID"	"Molecule Name"	"Molecule Max Phase"	"Molecular Weight"	"#RO5 Violations"	"AlogP"	"Compound Key"	"Smiles"	"Standard Type"	"Standard Relation"	"Standard Value"	"Standard Units"	"pChEMBL Value"	"Data Validity Comment"	"Comment"	"Uo Units"	"Ligand Efficiency BEI"	"Ligand Efficiency LE"	"Ligand Efficiency LLE"	"Ligand Efficiency SEI"	"Potential Duplicate"	"Assay ChEMBL ID"	"Assay Description"	"Assay Type"	"BAO Format ID"	"BAO Label"	"Assay Organism"	"Assay Tissue ChEMBL ID"	"Assay Tissue Name"	"Assay Cell Type"	"Assay Subcellular Fraction"	"Assay Parameters"	"Assay Variant Accession"	"Assay Variant Mutation"	"Target ChEMBL ID"	"Target Name"	"Target Organism"	"Target Type"	"Document ChEMBL ID"	"Source ID"	"Source Description"	"Document Journal"	"Document Year"	"Cell ChEMBL ID"	"Properties"	"Action Type"	"Standard Text Value"
"CHEMBL135"	"ESTRADIOL"	"4.0"	"272.39"	"0"	"3.61"	"E2, 17beta-E2, estradiol"	"C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O"	"EC50"	"'='"	"0.3"	"nM"	"9.52"	""	""	"UO_0000065"	"34.96"	"0.65"	"5.91"	"23.54"	"0"	"CHEMBL3413408"	"Agonist activity at human ERbeta in human MCF7 cells assessed as otubain 2 endogenous genes activation after 24 hrs by qPCR"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"MCF7"	"None"	""	""	""	"CHEMBL242"	"Estrogen receptor beta"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3407405"	"1"	"Scientific Literature"	"J Med Chem"	"2015"	"CHEMBL3308403"	""	""	""
"CHEMBL240597"	"CHENODIOL"	"4.0"	"392.58"	"0"	"4.48"	"CDCA"	"C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C"	"EC50"	"'='"	"6310.0"	"nM"	"5.20"	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL992476"	"Agonist activity at FXR assessed as activation by cell based luciferase transactivation assay"	"F"	"BAO_0000219"	"cell-based format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2047"	"Bile acid receptor FXR"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1142452"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2008"	"None"	""	""	""
"CHEMBL23236"	"BETULIN"	"None"	"442.73"	"1"	"7.00"	"4"	"C=C(C)[C@@H]1CC[C@]2(CO)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12"	"EC50"	"'='"	"23000.0"	"nM"	"4.64"	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL997492"	"Antiviral activity against HIV1 3B in human H9 cells assessed as inhibition of viral replication after 3 days by p24 antigen capture assay"	"F"	"BAO_0000218"	"organism-based format"	"Human immunodeficiency virus 1"	"None"	"None"	"H9"	"None"	""	""	""	"CHEMBL378"	"Human immunodeficiency virus 1"	"Human immunodeficiency virus 1"	"ORGANISM"	"CHEMBL1149038"	"1"	"Scientific Literature"	"J Nat Prod"	"1994"	"CHEMBL3308402"	""	""	""
"CHEMBL103"	"PROGESTERONE"	"4.0"	"314.47"	"0"	"4.72"	"44"	"CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C"	"EC50"	"'='"	"2770.0"	"nM"	"5.56"	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL949256"	"Agonist activity at human TGR5 expressed in CHO cells by luciferase assay"	"F"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"CHO"	"None"	""	""	""	"CHEMBL5409"	"G-protein coupled bile acid receptor 1"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1144009"	"1"	"Scientific Literature"	"J Med Chem"	"2008"	"CHEMBL3308072"	""	""	""
"CHEMBL273086"	""	"None"	"406.61"	"0"	"4.57"	"27, CDCA Me Ester"	"COC(=O)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C"	"EC50"	"'='"	"4390.0"	"nM"	"5.36"	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL949256"	"Agonist activity at human TGR5 expressed in CHO cells by luciferase assay"	"F"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"CHO"	"None"	""	""	""	"CHEMBL5409"	"G-protein coupled bile acid receptor 1"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1144009"	"1"	"Scientific Literature"	"J Med Chem"	"2008"	"CHEMBL3308072"	""	""	""
"CHEMBL160902"	""	"None"	"362.55"	"1"	"5.12"	"26, Nor-LCA"	"CC(CC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C"	"EC50"	"'='"	"770.0"	"nM"	"6.11"	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL949256"	"Agonist activity at human TGR5 expressed in CHO cells by luciferase assay"	"F"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"CHO"	"None"	""	""	""	"CHEMBL5409"	"G-protein coupled bile acid receptor 1"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1144009"	"1"	"Scientific Literature"	"J Med Chem"	"2008"	"CHEMBL3308072"	""	""	""
"CHEMBL408477"	""	"None"	"495.77"	"1"	"6.09"	"23a, 7beta-Et-TCDCA"	"CC[C@H]1C[C@@H]2CCCC[C@]2(C)[C@H]2CC[C@]3(C)[C@@H]([C@H](C)CCC(=O)NCCS(=O)(=O)O)CC[C@H]3[C@H]12"	"EC50"	"'='"	"730.0"	"nM"	"6.14"	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL949256"	"Agonist activity at human TGR5 expressed in CHO cells by luciferase assay"	"F"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"CHO"	"None"	""	""	""	"CHEMBL5409"	"G-protein coupled bile acid receptor 1"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1144009"	"1"	"Scientific Literature"	"J Med Chem"	"2008"	"CHEMBL3308072"	""	""	""
"CHEMBL270494"	""	"None"	"388.64"	"1"	"7.17"	"23, 7beta-Et-CDCA"	"CC[C@H]1C[C@@H]2CCCC[C@]2(C)[C@H]2CC[C@]3(C)[C@@H]([C@H](C)CCC(=O)O)CC[C@H]3[C@H]12"	"EC50"	"'='"	"2630.0"	"nM"	"5.58"	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL949256"	"Agonist activity at human TGR5 expressed in CHO cells by luciferase assay"	"F"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"CHO"	"None"	""	""	""	"CHEMBL5409"	"G-protein coupled bile acid receptor 1"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1144009"	"1"	"Scientific Literature"	"J Med Chem"	"2008"	"CHEMBL3308072"	""	""	""
"CHEMBL270105"	""	"None"	"390.61"	"1"	"5.75"	"17, 7-Xi-Me-LCA"	"CC1C[C@@H]2C[C@H](O)CC[C@]2(C)[C@H]2CC[C@]3(C)[C@@H]([C@H](C)CCC(=O)O)CC[C@H]3[C@H]12"	"EC50"	"'='"	"16200.0"	"nM"	"4.79"	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL949258"	"Agonist activity at human FXR expressed in COS1 cells by luciferase assay"	"F"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"COS-1"	"None"	""	""	""	"CHEMBL2047"	"Bile acid receptor FXR"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1144009"	"1"	"Scientific Literature"	"J Med Chem"	"2008"	"CHEMBL3308351"	""	""	""
"CHEMBL135"	"ESTRADIOL"	"4.0"	"272.39"	"0"	"3.61"	"b-Estradiol"	"C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O"	"EC50"	"'='"	"0.019"	"nM"	"10.72"	""	""	"UO_0000065"	"39.36"	"0.73"	"7.11"	"26.50"	"0"	"CHEMBL884979"	"Transcriptional activation of estrogen receptor alpha in U2OS cell using estrogen-regulated luciferase reporter gene plasmid upon incubation for 20-30 mins at RT"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"U2OS"	"None"	""	""	""	"CHEMBL206"	"Estrogen receptor alpha"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1141087"	"1"	"Scientific Literature"	"J Med Chem"	"2005"	"CHEMBL3307757"	""	""	""
"CHEMBL2336238"	""	"None"	"373.42"	"0"	"3.30"	"12"	"COc1cccc(-n2nnc(C3CC3)c2C(=O)N(C)c2ccc(C#N)cc2)c1"	"EC50"	"'='"	"212.0"	"nM"	"6.67"	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL3135858"	"Agonist activity at human recombinant TGR5 receptor expressed in CHO cells assessed as cAMP accumulation after 30 mins by spectrophotometry"	"F"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"CHO"	"None"	""	""	""	"CHEMBL5409"	"G-protein coupled bile acid receptor 1"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3132829"	"1"	"Scientific Literature"	"Medchemcomm"	"2013"	"CHEMBL3308072"	""	""	""
"CHEMBL135"	"ESTRADIOL"	"4.0"	"272.39"	"0"	"3.61"	"estradiol"	"C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O"	"EC50"	"'='"	"0.75"	"nM"	"9.12"	""	""	"UO_0000065"	""	""	""	""	"1"	"CHEMBL886324"	"Agonist activity at human recombinant ERalpha expressed in HEK293 cells by transactivation assay"	"F"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"HEK293"	"None"	""	""	""	"CHEMBL206"	"Estrogen receptor alpha"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1139947"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2007"	"CHEMBL3307715"	""	""	""
"CHEMBL52606"	"COLFORSIN"	"2.0"	"410.51"	"0"	"1.52"	"1"	"C=C[C@@]1(C)CC(=O)[C@]2(O)[C@@]3(C)[C@@H](O)CCC(C)(C)[C@@H]3[C@H](O)[C@H](OC(C)=O)[C@@]2(C)O1"	"EC50"	"'='"	"500.0"	"nM"	"6.30"	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL645667"	"Conversion of [32P] ATP to [32P]-cyclic AMP mediated by adenylate cyclase 1"	"F"	"BAO_0000019"	"assay format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2899"	"Brain adenylate cyclase 1"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1129369"	"1"	"Scientific Literature"	"J Med Chem"	"1996"	"None"	""	""	""
"CHEMBL1552"	"GLYCOCHENODEOXYCHOLATE"	"None"	"449.63"	"0"	"3.59"	"6"	"C[C@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C"	"EC50"	"'='"	"3000.0"	"nM"	"5.52"	""	""	"UO_0000065"	"12.28"	"0.24"	"1.93"	"5.17"	"0"	"CHEMBL682032"	"Binding affinity for Farnesoid X Receptor (FXR)"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2047"	"Bile acid receptor FXR"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1136407"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2003"	"None"	""	""	""
"CHEMBL103"	"PROGESTERONE"	"4.0"	"314.47"	"0"	"4.72"	"Progesterone"	"CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C"	"EC50"	"'='"	"2.89"	"nM"	"8.54"	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL760814"	"Agonistic activity was measured for modulation of hPR-B (human progesterone receptor) in co-transfected CV-1 cells."	"F"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"CV-1"	"None"	""	""	""	"CHEMBL208"	"Progesterone receptor"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1131299"	"1"	"Scientific Literature"	"J Med Chem"	"1998"	"CHEMBL3308033"	""	""	""
"CHEMBL269277"	"BETULINIC ACID"	"1.0"	"456.71"	"1"	"7.09"	"1"	"C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12"	"EC50"	"'='"	"8800.0"	"nM"	"5.06"	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL3745221"	"Cytotoxicity against human A2780 cells after 96 hrs by SRB assay"	"F"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"A2780"	"None"	""	""	""	"CHEMBL614004"	"A2780"	"Homo sapiens"	"CELL-LINE"	"CHEMBL3739286"	"1"	"Scientific Literature"	"Eur J Med Chem"	"2015"	"CHEMBL3308421"	""	""	""
"CHEMBL169"	"URSOLIC ACID"	"2.0"	"456.71"	"1"	"7.09"	"UA"	"C[C@H]1[C@H](C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@H]12"	"EC50"	"'='"	"13500.0"	"nM"	"4.87"	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL3614262"	"Cytotoxicity against human 8505C cells assessed as cell survival after 96 hrs by SRB assay"	"F"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"8505C"	"None"	""	""	""	"CHEMBL1075387"	"8505C"	"Homo sapiens"	"CELL-LINE"	"CHEMBL3612031"	"1"	"Scientific Literature"	"Eur J Med Chem"	"2015"	"CHEMBL3308353"	""	""	""
"CHEMBL571592"	""	"None"	"510.80"	"2"	"8.43"	"19-dia 2"	"C=C(C)C[C@]1(O)CC[C@]2(C)[C@H]3CC[C@@H]4[C@H]5[C@H](C(=C)C)CC[C@]5(C(=O)O)CC[C@@]4(C)[C@]3(C)CC[C@H]2C1(C)C"	"EC50"	"'='"	"420.0"	"nM"	"6.38"	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL1041788"	"Agonist activity at TGR5 expressed in CHO cells by CRE-driven luciferase reporter gene assay"	"F"	"BAO_0000219"	"cell-based format"	"None"	"None"	"None"	"CHO"	"None"	""	""	""	"CHEMBL5409"	"G-protein coupled bile acid receptor 1"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1156761"	"1"	"Scientific Literature"	"J Med Chem"	"2010"	"CHEMBL3308072"	""	""	""
"CHEMBL566930"	""	"None"	"485.75"	"1"	"6.46"	"23"	"C=C(C)[C@@H]1CC[C@]2(C(=O)OCN)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12"	"EC50"	"'='"	"0.0"	"nM"	""	"Outside typical range"	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL1041790"	"Agonist activity at human FXR expressed in COS1 cells by luciferase reporter gene assay"	"F"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"COS-1"	"None"	""	""	""	"CHEMBL2047"	"Bile acid receptor FXR"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1156761"	"1"	"Scientific Literature"	"J Med Chem"	"2010"	"CHEMBL3308351"	""	""	""
"CHEMBL571516"	""	"None"	"527.79"	"2"	"5.53"	"29"	"C=C(C)[C@@H]1CC[C@]2(C(=O)N3CC(O)C3O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12"	"EC50"	"'='"	"0.0"	"nM"	""	"Outside typical range"	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL1041790"	"Agonist activity at human FXR expressed in COS1 cells by luciferase reporter gene assay"	"F"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"COS-1"	"None"	""	""	""	"CHEMBL2047"	"Bile acid receptor FXR"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1156761"	"1"	"Scientific Literature"	"J Med Chem"	"2010"	"CHEMBL3308351"	""	""	""
"CHEMBL135"	"ESTRADIOL"	"4.0"	"272.39"	"0"	"3.61"	"estradiol"	"C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O"	"EC50"	"'='"	"0.25"	"ug.mL-1"	""	""	""	"UO_0000274"	""	""	""	""	"0"	"CHEMBL779965"	"Displacement of [3H]estradiol from estrogen receptor in immature rat"	"F"	"BAO_0000019"	"assay format"	"Rattus norvegicus"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2094114"	"Estrogen receptor"	"Rattus norvegicus"	"PROTEIN FAMILY"	"CHEMBL1124539"	"1"	"Scientific Literature"	"J Med Chem"	"1989"	"None"	""	""	""
"CHEMBL575966"	""	"None"	"361.23"	"1"	"5.23"	"6"	"Cc1onc(-c2ccccc2Cl)c1C(=O)N(C)c1ccc(Cl)cc1"	"EC50"	"'='"	"31.62"	"nM"	"7.50"	""	""	"UO_0000065"	""	""	""	""	"1"	"CHEMBL1073135"	"Agonist activity at human TGR5 receptor expressed in human U2-OS cells assessed as changes in response to cAMP level by MRE/CRE-driven luciferase reporter gene assay"	"F"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"U2OS"	"None"	""	""	""	"CHEMBL5409"	"G-protein coupled bile acid receptor 1"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1156896"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2010"	"CHEMBL3307757"	""	""	""
